CPM,CHANNEL_NAME,DATE,VIEWS
2.5,Aleksandrvladivostokk,2025-08-20,
3.0,Aleksandrvladivostokk,2025-08-22,
3.0,Aleksandrvladivostokk,2025-08-29,
1.8,Aleksandrvladivostokk,2025-08-29,
3.0,Aleksandrvladivostokk,2025-08-30,
1.8,Aleksandrvladivostokk,2025-09-09,
3.0,Aleksandrvladivostokk,2025-09-14,
5.0,Aleksandrvladivostokk,2025-10-19,
7.0,Aleksandrvladivostokk,2025-10-19,
23.75,AlekseySalnikoff,2025-10-06,
23.0,Aleksey_China_Public,2025-10-31,
5.2,Aleksey_S_reef,2025-12-15,
3.6,Aleksey_S_reef,2025-12-15,
14.75,AlexPutjkmillionam,2025-10-21,
3.38,AlexPutjkmillionam,2025-11-17,
3.5,AlexRich2018,2025-09-11,
4.69,AlexRich2018,2025-09-15,
5.25,AlexRich2018,2025-09-16,
2.0,AlexRich2018,2025-09-17,
2.0,AlexRich2018,2025-09-17,
2.04,AlexRich2018,2025-09-17,
2.0,AlexRich2018,2025-09-19,
2.0,AlexRich2018,2025-09-19,
2.0,AlexRich2018,2025-09-29,
2.6,AlexRich2018,2025-09-30,
7.97,AlexRich2018,2025-10-06,
7.75,AlexRich2018,2025-10-13,
12.17,AlexTokar13,2025-10-06,
2.27,AlexTokar13,2025-10-08,
9.0,AlexYanovsky,2025-08-18,
15.0,AlexYanovsky,2025-09-12,
3.0,AlexYanovsky,2025-11-14,
3.08,AlexanderGerchik,2025-09-17,
4.0,AlexanderGerchik,2025-09-17,
2.0,AlexanderGerchik,2025-09-17,
2.53,AlexanderGerchik,2025-09-19,
4.46,AlexanderGerchik,2025-09-19,
7.0,AlexanderGerchik,2025-10-05,
3.73,AlexanderGerchik,2025-11-17,
2.87,AlexeiVoron,2025-10-06,
3.87,AlexeiVoron,2025-11-26,
10.3,AlexeySekriyarov,2025-11-26,
10.8,AlexeySekriyarov,2025-11-26,
6.55,AlfaBank,2025-11-13,
5.6,AlfaBank,2025-11-13,
6.5,AlfaBank,2025-11-13,
3.15,AlfaBank,2025-12-13,
6.27,AlfaBit_news,2025-08-18,
4.75,Alfa_Forex_webinar,2025-10-02,
7.86,Alfa_Forex_webinar,2025-11-18,
5.07,Alfa_Forex_webinar,2025-11-25,
2.1,AlfiyaSalahova,2025-12-10,
46.25,Algo_Sliv_Group_ASG,2025-10-06,
7.0,Aliigan1,2025-10-24,
3.12,AlisaTeilor,2025-07-21,
2.6,Alkriptone,2025-09-30,
7.0,AllEconomics,2025-08-18,
6.84,AllEconomics,2025-09-02,
8.95,AllEconomics,2025-09-02,
16.56,AlligatorTraderBo,2025-09-17,
303.04,AlligatorTraderBo,2025-09-19,
13.59,AlligatorTraderBo,2025-09-19,
15.75,AlligatorTraderBo,2025-11-22,
15.0,AlligatorTraderBo,2025-11-22,
155.84,AlligatorTraderBo,2025-11-25,
209.37,AlligatorTraderBo,2025-12-02,
5.2,Allocation_ru,2025-06-20,
3.13,Alpindustria_ru,2025-12-11,
7.05,AltcoinReviewSpot,2025-09-10,
7.95,AltcoinReviewSpot,2025-09-16,
3.0,Ambassadors_Car,2025-08-12,
2.8,Ambassadors_Car,2025-08-20,
3.0,Ambassadors_Car,2025-08-22,
2.4,Ambassadors_Car,2025-08-29,
1.8,Ambassadors_Car,2025-08-29,
3.0,Ambassadors_Car,2025-08-30,
1.8,Ambassadors_Car,2025-08-30,
3.0,Ambassadors_Car,2025-09-09,
1.8,Ambassadors_Car,2025-09-14,
5.5,AmericanAuto01,2025-09-26,
5.0,AmericanAuto01,2025-09-30,
7.4,AmericanAuto01,2025-10-03,
4.19,AmericanAuto01,2025-10-10,
6.9,AmericanAuto01,2025-10-13,
7.19,AmericanAuto01,2025-10-22,
6.9,AmericanAuto01,2025-11-23,
10.0,AmericanAuto01,2025-12-01,
14.01,Amin_Crypto_Arbitrage,2025-06-19,
15.01,Amin_Crypto_Arbitrage,2025-06-19,
19.21,Amin_Crypto_Arbitrage,2025-06-19,
15.01,Amin_Crypto_Arbitrage,2025-06-19,
18.51,Amin_Crypto_Arbitrage,2025-06-19,
16.61,Amin_Crypto_Arbitrage,2025-06-19,
16.1,Anastasiia_lyzha,2025-06-17,
31.37,AndrewCryptoZ,2025-10-06,
2.8,AndreyKulaga,2025-06-20,
22.0,AndreyTRD,2025-07-12,
11.89,AndreyZakharyan_Personal,2025-08-06,
2.01,Andreyespassport,2025-07-09,
5.4,Andreyespassport,2025-07-10,
1.8,Andreyespassport,2025-07-10,
5.0,Andreyespassport,2025-08-17,
7.0,Andreyespassport,2025-09-06,
12.01,Andreyespassport,2025-09-16,
3.0,Andreyespassport,2025-11-03,
48.0,Andrianov_udalenka,2025-09-04,
45.4,Andrianov_udalenka,2025-09-25,
5.49,AnnaDreamtravel,2025-11-12,
27.87,AnnaDreamtravel,2025-11-19,
2.0,Anovi_Art,2025-10-28,
2.0,Anovi_Art,2025-10-29,
2.71,Ant0HAlex,2025-10-22,
1.99,Anton_cryptoo,2025-09-16,
3.19,Anton_cryptoo,2025-09-16,
1.8,Anton_cryptoo,2025-09-18,
7.35,Anton_cryptoo,2025-09-26,
3.0,Anton_cryptoo,2025-11-14,
1.81,Anton_cryptoo,2025-11-18,
5.23,Apartamen,2025-12-15,
32.0,Apex_TradingGroup,2025-11-14,
6.0,AppStorePlus,2025-06-26,
6.0,AppleWorldspb,2025-06-26,
5.2,AquariumLife,2025-12-15,
2.0,AquariumLife,2025-12-15,
11.03,Arbitrage_Services,2025-09-05,
35.18,Arbitrage_Services,2025-09-09,
49.96,Arbitrage_Services,2025-09-09,
14.0,Arbitrage_Services,2025-09-09,
6.02,Arbitrage_Services,2025-09-17,
8.64,Arbitrage_Services,2025-09-19,
3.08,Arbitrage_Services,2025-09-19,
20.87,Arbitrage_Services,2025-10-08,
4.2,Arbitraj_trafika_vpn,2025-08-30,
2.6,ArnoldCrypto,2025-09-30,
2.6,ArnoldCrypto,2025-09-30,
3.0,Artem_Ivan_Auto,2025-08-22,
3.0,Artem_Ivan_Auto,2025-08-29,
1.8,Artem_Ivan_Auto,2025-08-30,
3.0,Artem_Ivan_Auto,2025-09-09,
1.8,Artem_Ivan_Auto,2025-09-14,
2.9,Artem_Ivan_Auto,2025-11-26,
2.25,ArtsofInvestments,2025-09-02,
2.25,ArturICTtrade,2025-08-28,
10.7,ArturICTtrade,2025-09-11,
2.0,ArturICTtrade,2025-09-17,
3.69,ArturICTtrade,2025-09-17,
3.69,ArturICTtrade,2025-09-19,
2.0,ArturICTtrade,2025-09-19,
9.38,Asc_academy,2025-10-14,
1.8,AsiaImportAuto,2025-07-29,
1.8,AsiaImportAuto,2025-08-07,
1.8,AsiaImportAuto,2025-08-11,
2.4,AsiaImportAuto,2025-08-20,
3.0,AsiaImportAuto,2025-08-22,
3.0,AsiaImportAuto,2025-08-29,
1.8,AsiaImportAuto,2025-08-29,
3.0,AsiaImportAuto,2025-08-30,
1.8,AsiaImportAuto,2025-08-30,
2.8,AsiaImportAuto,2025-09-09,
3.0,AsiaImportAuto,2025-09-14,
2.55,AskVasili4,2025-09-02,
2.1,AsmauLLahi,2025-12-10,
8.5,Astrology_11dom,2025-11-08,
3.0,AtBusinessDom,2025-07-21,
3.0,AtBusinessDom,2025-07-21,
3.0,AtBusinessDom,2025-07-25,
3.0,AtBusinessDom,2025-08-07,
3.0,AtBusinessDom,2025-08-11,
2.8,AtBusinessDom,2025-08-20,
1.8,AtBusinessDom,2025-08-22,
1.8,AtBusinessDom,2025-08-30,
2.0,AtBusinessDom,2025-09-09,
2.4,AtticusWierix,2025-09-10,
2.4,AtticusWierix,2025-09-10,
2.2,AtticusWierix,2025-09-11,
2.2,AtticusWierix,2025-09-11,
7.8,AtticusWierix,2025-09-18,
3.0,AukcionAvt,2025-08-11,
1.8,AukcionAvt,2025-08-20,
1.8,AukcionAvt,2025-08-22,
2.8,AukcionAvt,2025-08-29,
1.8,AukcionAvt,2025-08-29,
1.8,AukcionAvt,2025-08-30,
3.0,AukcionAvt,2025-09-09,
1.8,AukcionAvt,2025-09-14,
2.9,AukcionAvt,2025-11-26,
1.85,AustriaAutoEuro,2025-04-06,
6.0,AutoBossNews,2025-07-29,
3.0,AutoBroker_club,2025-08-12,
1.8,AutoBroker_club,2025-08-20,
1.8,AutoBroker_club,2025-08-30,
2.0,AutoBroker_club,2025-09-09,
10.0,AutoBroker_club,2025-10-08,
7.5,AutoBusinessRF,2025-07-12,
7.0,AutoBusinessRF,2025-07-12,
2.6,AutoDVtransit,2025-08-29,
1.8,AutoDVtransit,2025-08-29,
1.8,AutoDVtransit,2025-08-30,
3.0,AutoDVtransit,2025-09-09,
3.0,AutoDVtransit,2025-09-14,
2.2,AutoDrajv,2025-08-11,
1.8,AutoDrajv,2025-08-30,
1.8,AutoDrajv,2025-09-09,
1.8,AutoDrajv,2025-09-17,
2.6,AutoDrajv,2025-09-24,
9.53,AutoDrajv,2025-10-12,
9.53,AutoDrajv,2025-10-12,
8.53,AutoDrajv,2025-10-12,
9.53,AutoDrajv,2025-10-12,
1.8,AutoEuropeTOP,2025-07-25,
6.2,AutoEuropeTOP,2025-07-25,
6.2,AutoEuropeTOP,2025-07-29,
1.8,AutoEuropeTOP,2025-07-29,
1.8,AutoEuropeTOP,2025-08-07,
6.2,AutoEuropeTOP,2025-08-07,
6.2,AutoEuropeTOP,2025-08-11,
7.4,AutoEuropeTOP,2025-08-20,
3.0,AutoEuropeTOP,2025-08-22,
3.0,AutoEuropeTOP,2025-09-09,
2.2,AutoEuropeTOP,2025-09-14,
2.21,AutoEuropeTOP,2025-09-18,
1.8,AutoGeorgia116,2025-08-12,
1.8,AutoGeorgia116,2025-08-20,
3.0,AutoGeorgia116,2025-08-22,
3.0,AutoGeorgia116,2025-08-29,
1.8,AutoGeorgia116,2025-08-29,
1.8,AutoGeorgia116,2025-08-30,
3.0,AutoGeorgia116,2025-09-09,
3.0,AutoGeorgia116,2025-09-14,
2.33,AutoHayk_catalog,2025-10-16,
2.33,AutoHayk_catalog,2025-10-16,
2.6,AutoMagnattt,2025-09-14,
5.3,AutoMagnattt,2025-09-26,
5.8,AutoMagnattt,2025-11-13,
5.2,AutoMagnattt,2025-11-13,
6.0,AutoMagnattt,2025-11-17,
5.0,AutoMagnattt,2025-12-02,
1.8,AutoMakss,2025-09-17,
5.0,AutoMakss,2025-11-22,
3.0,AutoPlatz,2025-08-29,
1.8,AutoPlatz,2025-08-29,
1.8,AutoPlatz,2025-08-30,
1.8,AutoPlatz,2025-08-30,
2.2,AutoPlatz,2025-09-09,
1.8,AutoPlatz,2025-09-17,
1.8,AutoSale_Bulgaria_Ukraine,2025-09-09,
1.8,AutoSale_Bulgaria_Ukraine,2025-09-17,
1.8,AutoStyleNews,2025-08-29,
34.0,AutoStyleNews,2025-09-03,
1.1,AutoStyleNews,2025-09-22,
1.8,AutoWhale78,2025-08-30,
2.4,AutoWhale78,2025-09-09,
1.8,AutoWhale78,2025-09-17,
5.5,Auto_Avangard_salecar,2025-09-26,
3.0,Auto_iz_za_Bugra,2025-08-07,
3.2,Auto_iz_za_Bugra,2025-08-11,
2.4,Auto_iz_za_Bugra,2025-08-20,
3.0,Auto_iz_za_Bugra,2025-08-22,
1.8,Auto_iz_za_Bugra,2025-08-29,
1.8,Auto_iz_za_Bugra,2025-08-30,
2.8,Auto_iz_za_Bugra,2025-09-09,
2.2,Auto_iz_za_Bugra,2025-09-14,
2.9,Auto_iz_za_Bugra,2025-11-26,
2.6,Auto_poisk70,2025-08-07,
2.6,Auto_poisk70,2025-08-07,
3.0,Auto_poisk70,2025-08-11,
2.4,Auto_poisk70,2025-08-20,
3.0,Auto_poisk70,2025-08-22,
1.8,Auto_poisk70,2025-08-30,
3.0,Auto_poisk70,2025-09-09,
3.0,Auto_poisk70,2025-09-14,
1.8,Autobazar97,2025-08-22,
3.0,Autobazar97,2025-08-30,
1.8,Autobazar97,2025-08-30,
3.0,Autobazar97,2025-09-09,
3.0,Autobazar97,2025-09-14,
3.0,Autocapitalby,2025-07-29,
3.0,Autocapitalby,2025-08-07,
3.0,Autocapitalby,2025-08-11,
1.8,Autocapitalby,2025-08-22,
3.0,Autocapitalby,2025-08-29,
1.8,Autocapitalby,2025-08-29,
1.8,Autocapitalby,2025-08-30,
1.8,Autocapitalby,2025-08-30,
3.0,Autocapitalby,2025-09-09,
1.8,Autocapitalby,2025-09-14,
3.0,AutocomJapanOfficial,2025-07-25,
3.0,AutocomJapanOfficial,2025-07-29,
3.0,AutocomJapanOfficial,2025-08-07,
3.0,AutocomJapanOfficial,2025-08-11,
6.0,AutocomJapanOfficial,2025-08-29,
1.8,AutocomJapanOfficial,2025-08-29,
1.8,AutocomJapanOfficial,2025-08-30,
3.0,AutocomJapanOfficial,2025-09-09,
1.8,Autofact_trade,2025-11-25,
2.0,Autofact_trade,2025-11-29,
2.0,Autofact_trade,2025-12-01,
1.8,Autogidrf,2025-08-12,
2.4,Autogidrf,2025-08-29,
1.8,Autogidrf,2025-08-29,
1.8,Autogidrf,2025-08-30,
22.6,Autogidrf,2025-09-03,
1.5,Autogidrf,2025-09-22,
3.0,Autojustic,2025-08-29,
3.0,Autojustic,2025-08-30,
2.6,Autojustic,2025-09-09,
1.8,Autojustic,2025-09-17,
3.0,Averin_auto,2025-07-21,
3.0,Averin_auto,2025-07-21,
3.0,Averin_auto,2025-08-11,
3.0,AvirraLeasing,2025-07-30,
3.0,AvirraLeasing,2025-08-11,
3.0,AvirraLeasing,2025-09-09,
1.8,AvirraLeasing,2025-09-17,
1.8,AvtoBP03,2025-08-12,
1.8,AvtoBP03,2025-08-20,
3.0,AvtoBP03,2025-08-29,
1.8,AvtoBP03,2025-08-29,
3.0,AvtoBP03,2025-09-09,
3.0,AvtoBP03,2025-09-14,
2.9,AvtoBP03,2025-11-26,
1.8,AvtoChina01,2025-08-22,
1.8,AvtoChina01,2025-08-29,
3.0,AvtoChina01,2025-08-30,
3.0,AvtoChina01,2025-09-09,
2.6,AvtoChina01,2025-09-14,
4.4,AvtoET,2025-09-26,
1.89,AvtoET,2025-10-10,
3.1,AvtoET,2025-10-28,
2.9,AvtoET,2025-11-12,
1.8,AvtoET,2025-11-13,
1.8,AvtoET,2025-11-13,
1.8,AvtoET,2025-11-13,
4.2,AvtoET,2025-11-17,
4.8,AvtoET,2025-11-17,
1.8,AvtoET,2025-11-17,
10.0,AvtoEurope_RF,2025-12-01,
4.31,AvtoEurope_RF,2025-12-14,
3.0,AvtoNaZakaz,2025-08-07,
3.0,AvtoNaZakaz,2025-08-11,
1.8,AvtoNaZakaz,2025-08-20,
3.0,AvtoNaZakaz,2025-08-22,
1.8,AvtoNaZakaz,2025-08-30,
3.0,AvtoNaZakaz,2025-09-09,
3.0,AvtoNaZakaz,2025-09-14,
18.2,AvtoNaZakaz,2025-11-04,
22.1,AvtoNaZakaz,2025-11-04,
7.6,AvtoNaZakaz,2025-11-10,
1.8,AvtoPulse_news,2025-08-30,
22.6,AvtoPulse_news,2025-09-03,
2.6,AvtoPulse_news,2025-09-09,
3.0,AvtoRepostUZ,2025-08-30,
1.8,AvtoRepostUZ,2025-08-30,
1.8,AvtoTemaKanal,2025-08-30,
1.8,AvtoTemaKanal,2025-09-09,
1.8,AvtoTemaKanal,2025-09-17,
16.5,Avto_shaxti,2025-06-10,
6.6,Avto_shaxti,2025-06-22,
2.0,Avtobazar_Uzbekistan,2025-09-09,
1.8,Avtobazar_Uzbekistan,2025-09-15,
1.8,Avtobazar_Uzbekistan,2025-09-17,
1.8,Avtochina05,2025-08-22,
2.2,Avtochina05,2025-08-29,
3.0,Avtochina05,2025-08-30,
1.8,Avtochina05,2025-08-30,
3.0,Avtochina05,2025-09-09,
1.8,Avtochina05,2025-09-14,
1.8,Avtoluxmoskva,2025-08-20,
3.0,Avtoluxmoskva,2025-08-22,
3.0,Avtoluxmoskva,2025-08-29,
1.8,Avtoluxmoskva,2025-08-29,
3.0,Avtoluxmoskva,2025-09-09,
3.0,Avtoluxmoskva,2025-09-14,
10.0,Avtoluxmoskva,2025-10-08,
28.25,Avtomatfx,2025-09-23,
50.05,Avtomatfx,2025-09-23,
37.25,Avtomatfx,2025-10-02,
26.61,Avtomatfx,2025-11-18,
1.8,Avtonomer95,2025-08-07,
1.8,Avtonomer_ufa,2025-08-12,
2.6,Avtonomer_ufa,2025-08-20,
3.0,Avtonomer_ufa,2025-08-22,
3.0,Avtonomer_ufa,2025-08-29,
1.8,Avtonomer_ufa,2025-08-29,
3.0,Avtonomer_ufa,2025-09-09,
1.8,Avtonomer_ufa,2025-09-14,
3.0,AvtoraketaKZ,2025-08-07,
3.0,AvtoraketaKZ,2025-08-07,
3.0,AvtoraketaKZ,2025-08-11,
2.8,AvtoraketaKZ,2025-08-20,
3.0,AvtoraketaKZ,2025-08-22,
1.8,AvtoraketaKZ,2025-08-30,
3.0,AvtoraketaKZ,2025-09-09,
3.0,AvtoraketaKZ,2025-09-14,
2.9,AvtoraketaKZ,2025-11-26,
3.2,AvtostatInfo,2025-08-29,
1.8,AvtostatInfo,2025-08-29,
2.4,AvtostatInfo,2025-08-30,
1.8,AvtostatInfo,2025-08-30,
2.6,AvtostatInfo,2025-09-09,
1.8,AvtostatInfo,2025-09-17,
5.0,AvtshAvtsh,2025-11-07,
5.01,AyazShabutdinov,2025-06-28,
10.0,AyazShabutdinov,2025-08-19,
8.18,Azbeautyshcool,2025-05-17,
8.88,Azbeautyshcool,2025-06-10,
8.88,Azbeautyshcool,2025-06-10,
7.37,Azbeautyshcool,2025-09-29,
8.9,Azbeautyshcool,2025-11-30,
3.2,AziaRusAvto,2025-07-10,
2.8,AziaRusAvto,2025-08-07,
2.8,AziaRusAvto,2025-08-07,
19.0,Azizinmarketplace,2025-09-06,
17.0,Azizinmarketplace,2025-10-13,
17.0,Azizinmarketplace,2025-10-16,
15.0,Azizov_Trader,2025-11-03,
9.43,BALI_PREMIUM_VILLAS,2025-08-07,
2.25,BANKOMATSC,2025-08-28,
2.25,BANKOMATSC,2025-09-02,
20.0,BAYBIT_BINANS,2025-04-17,
14.01,BAYBIT_BINANS,2025-06-19,
12.03,BAYBIT_BINANS,2025-09-05,
26.85,BAYBIT_BINANS,2025-09-08,
2.6,BAYBIT_BINANS,2025-09-30,
6.63,BAYBIT_BINANS,2025-12-13,
24.13,BD_group,2025-08-07,
3.8,BGTWorkshop,2025-07-21,
3.8,BGTWorkshop,2025-07-21,
2.0,BGTWorkshop,2025-08-11,
2.01,BIOMEHANICA,2025-12-12,
17.81,BITRAF777,2025-09-23,
57.16,BITRAF777,2025-09-23,
17.2,BLONDNAWB,2025-09-22,
30.5,BLONDNAWB,2025-10-13,
51.2,BLONDNAWB,2025-10-17,
14.02,BMF1photo,2025-04-29,
16.02,BMF1photo,2025-09-07,
1.8,BMF1photo,2025-09-25,
4.23,BMonarch_official,2025-09-19,
2.0,BMonarch_official,2025-09-19,
